Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
"DM, M (C)",16.05201916495551,12,3,13,0,0.0,3,11,9,7,12,1400,57,73,17,173,61
"DM, M (C)",16.145106091718002,9,14,10,0,0.0,13,12,15,16,8,1600,64,106,17,173,69
DM,16.213552361396303,11,6,12,0,0.0,12,11,6,11,5,1500,60,82,17,173,65
"D (RC), DM, M (RC)",16.087611225188226,11,18,12,0,0.0,7,11,5,11,8,1600,64,115,17,173,77
D/WB/M/AM (L),15.937029431895962,9,16,13,0,0.0,8,9,4,11,13,1550,63,84,17,173,71
D (C),15.961670088980151,11,14,11,0,0.0,6,12,20,8,5,1600,65,103,17,173,71
D (C),16.462696783025326,13,5,11,0,0.0,3,9,6,10,6,1550,63,106,17,173,75
GK,16.465434633812457,9,15,11,0,0.0,2,11,16,8,12,1500,61,83,17,173,65
GK,16.399726214921287,10,13,13,0,0.0,11,11,8,7,10,1650,66,112,17,173,73
"M (RLC), AM (RC)",16.98836413415469,11,14,12,71,6.75,5,11,7,17,14,750,55,89,11,130,69
ST (C),16.257357973990416,13,5,11,0,0.0,4,11,7,14,5,1400,56,82,17,173,64
"M (L), AM (LC)",16.380561259411362,9,10,12,0,0.0,3,10,9,10,8,1650,66,110,14,125,76
D (C),17.801505817932924,13,15,13,90,6.5,6,10,14,15,9,900,60,70,2,73,60
D/WB (L),17.19917864476386,12,2,11,0,0.0,1,11,17,7,14,800,67,96,10,117,69
GK,16.254620123203285,12,7,10,0,0.0,7,14,18,12,10,1650,66,108,13,173,68
D (C),20.473648186173854,10,3,11,113,6.6,6,12,12,14,6,1550,81,95,11,87,81
M (C),16.892539356605067,11,8,12,0,0.0,9,10,8,12,13,200,47,75,8,80,56
M (C),15.945242984257359,10,10,11,0,0.0,9,11,12,20,12,350,46,119,6,80,62
D/WB/M (R),17.360711841204655,8,10,12,0,0.0,4,10,8,9,7,400,58,79,14,116,66
D/WB (R),19.096509240246405,12,8,11,0,0.0,4,10,10,9,11,750,55,71,13,130,59
D (C),18.026009582477755,13,14,12,0,0.0,11,11,6,18,11,450,50,51,6,46,50
M (C),17.49486652977413,12,13,13,0,0.0,6,12,7,15,9,950,58,90,13,160,71
M (C),16.82135523613963,11,8,11,0,0.0,5,9,5,14,13,650,59,96,13,160,73
AM (R),24.78302532511978,11,18,12,2141,6.85,8,9,11,14,6,750,55,70,4,46,58
ST (C),16.191649555099247,11,16,10,0,0.0,8,10,14,14,9,1000,60,101,15,173,75
ST (C),17.018480492813143,11,17,11,0,0.0,9,12,10,18,7,800,64,108,14,117,74
D (LC),16.914442162902123,12,14,10,0,0.0,6,10,9,16,5,750,60,100,14,117,72
M (C),17.190965092402465,12,4,11,0,0.0,9,9,7,20,8,750,60,95,14,117,67
ST (C),16.199863107460644,13,5,10,0,0.0,13,10,7,12,13,750,60,106,14,117,69
"M (LC), AM (L)",16.16974674880219,12,4,9,37,6.7,1,13,16,7,15,50,30,59,2,46,30
M (C),16.37782340862423,11,9,11,0,0.0,5,10,8,12,8,800,65,100,11,117,73
M (C),16.438056125941138,12,3,13,0,0.0,9,11,19,11,5,200,52,73,14,116,61
"AM (L), ST (C)",21.22381930184805,11,1,12,29,6.5,9,7,9,17,9,650,68,88,10,86,68
ST (C),19.975359342915812,11,9,10,14,7.2,5,13,17,9,9,800,71,91,10,86,72
GK,17.166324435318277,10,9,9,0,0.0,2,12,12,13,7,50,40,53,10,86,40
ST (C),17.363449691991786,10,18,9,0,0.0,4,12,9,19,12,50,44,55,10,86,44
D (C),18.086242299794662,11,5,10,0,0.0,3,10,6,20,6,50,42,50,8,86,42
M (C),18.751540041067763,10,17,10,128,6.8,9,11,9,9,6,250,60,61,10,86,60
D (C),16.813141683778234,12,12,12,0,0.0,3,10,10,13,13,850,41,113,18,185,49
"AM (C), ST (C)",16.019164955509925,11,10,11,0,0.0,10,8,12,9,7,750,51,85,11,173,58
ST (C),16.45722108145106,10,16,10,0,0.0,11,8,11,8,11,50,38,60,12,86,38
GK,16.0684462696783,13,5,12,0,0.0,2,8,15,13,12,650,63,93,15,87,74
AM (C),16.867898699520875,11,7,12,0,0.0,6,12,7,9,6,800,65,92,15,117,68
ST (C),19.392197125256672,11,16,11,0,0.0,5,10,15,15,7,50,39,50,11,86,39
M (C),17.916495550992472,11,14,9,0,0.0,4,10,13,12,12,50,41,58,9,86,41
GK,17.319644079397673,10,2,12,0,0.0,7,12,10,8,8,50,43,76,13,86,43
DM,18.05612594113621,12,6,10,695,6.8,10,13,19,12,5,50,50,74,13,86,55
ST (C),16.78028747433265,12,16,10,0,0.0,8,13,8,13,10,50,53,83,13,86,56
M/AM (C),16.8870636550308,9,7,11,0,0.0,17,11,6,8,6,500,40,81,12,120,42
GK,16.487337440109513,9,10,10,0,0.0,6,12,18,18,9,700,43,98,8,120,46
M/AM (C),15.898699520876113,10,16,11,0,0.0,10,10,9,13,11,700,41,85,13,120,51
GK,16.301163586584533,9,6,9,0,0.0,14,14,6,10,8,750,41,82,12,120,42
D/WB (L),16.435318275154003,10,14,12,0,0.0,2,9,6,10,6,600,43,73,12,120,51
D (C),15.906913073237508,11,10,11,0,0.0,9,9,10,11,8,750,62,112,14,117,77
D (C),16.306639288158795,10,10,12,0,0.0,8,10,8,11,8,750,60,109,14,117,64
ST (C),17.44284736481862,11,10,10,0,0.0,9,10,9,9,9,850,68,111,14,117,73
ST (C),16.0,11,12,11,0,0.0,12,11,7,9,6,700,41,104,12,120,53
"AM (L), ST (C)",16.016427104722794,12,4,11,0,0.0,12,12,9,7,10,1600,82,149,15,87,91
D (C),17.61806981519507,11,10,13,9,7.0,13,12,10,12,8,700,55,58,10,73,55
D (L),17.125256673511295,11,3,13,0,0.0,13,11,7,8,8,850,55,57,10,73,55
M/AM (C),16.32306639288159,11,11,9,0,0.0,2,13,6,15,13,800,45,87,12,173,57
ST (C),16.246406570841888,11,16,13,0,0.0,15,12,5,13,11,750,45,107,10,173,56
D (L),17.34154688569473,9,9,12,0,0.0,15,8,9,12,10,750,45,65,11,72,48
D (C),17.828884325804243,11,10,13,296,6.6,9,12,6,20,9,750,55,76,7,91,59
M (C),20.175222450376456,14,14,11,90,7.0,15,11,10,14,10,750,70,100,13,86,81
ST (C),18.338124572210816,14,8,12,27,6.6,7,10,8,19,10,1150,62,80,5,80,67
D (C),17.867214236824093,12,10,9,0,0.0,4,13,14,13,7,500,60,84,14,173,70
ST (C),18.48870636550308,11,12,12,0,0.0,1,11,10,8,7,50,60,61,13,86,60
D (C),17.694729637234772,9,14,12,0,0.0,10,12,10,9,6,750,70,94,14,116,78
ST (C),16.980150581793293,9,12,10,0,0.0,5,9,15,17,11,750,45,76,13,120,48
D (C),17.319644079397673,12,9,13,0,0.0,6,9,8,15,11,750,46,76,13,173,49
M (C),17.648186173853524,10,12,11,0,0.0,3,11,12,19,12,550,51,71,13,173,57
M (C),17.702943189596166,11,4,12,0,0.0,10,9,13,10,7,1250,51,76,11,185,56
GK,17.037645448323065,12,8,8,0,0.0,9,8,19,9,8,650,65,95,10,87,71
AM (C),18.321697467488022,10,14,12,45,6.6,17,10,11,11,10,1300,80,99,12,80,81
D/WB (L),16.396988364134156,11,1,10,0,0.0,8,10,15,12,13,850,45,81,18,173,50
D (C),16.438056125941138,11,14,10,0,0.0,11,14,15,20,5,1050,49,72,18,173,58
"D (C), DM, M (C)",18.261464750171115,12,15,14,0,0.0,6,8,7,10,14,50,46,60,13,158,50
GK,16.098562628336754,13,10,8,0,0.0,1,11,10,13,6,400,40,67,12,85,42
M/AM (C),17.83709787816564,12,13,10,0,0.0,11,13,6,19,5,50,55,77,12,94,58
AM (C),17.883641341546884,11,16,9,0,0.0,5,11,9,14,5,50,53,89,12,94,57
ST (C),16.06297056810404,11,16,11,0,0.0,6,13,8,13,11,250,44,95,15,173,58
M (C),15.93429158110883,14,12,10,0,0.0,14,10,5,18,11,850,47,91,15,173,61
ST (C),15.874058863791923,11,8,10,0,0.0,7,9,9,19,6,750,50,75,15,173,59
D (RC),16.355920602327174,10,16,9,0,0.0,12,14,8,15,11,550,46,83,15,173,53
"DM, M (C)",16.459958932238195,11,9,12,0,0.0,13,12,8,11,5,1000,45,85,15,173,55
ST (C),16.722792607802873,13,7,12,0,0.0,13,10,14,19,8,1800,72,111,12,125,82
D (C),17.905544147843944,12,11,10,0,0.0,3,9,9,8,13,1950,78,100,17,125,82
D (R),17.45927446954141,9,12,11,0,0.0,11,11,18,9,11,1950,78,97,17,125,78
D (C),16.427104722792606,10,19,9,0,0.0,16,12,9,19,7,1850,74,112,17,125,82
M/AM (R),16.128678986995208,10,5,12,0,0.0,14,12,10,11,13,1750,70,119,17,125,84
M/AM (L),15.912388774811772,12,11,10,0,0.0,3,12,9,16,5,1850,74,111,17,125,83
M/AM (C),16.021902806297057,10,7,11,0,0.0,11,11,10,11,8,1850,75,121,17,125,86
M/AM (C),16.147843942505133,10,12,11,0,0.0,12,10,12,12,8,1850,74,115,17,125,82
M (C),16.20807665982204,9,8,12,0,0.0,1,12,7,19,10,1650,66,108,17,125,81
DM,16.16974674880219,13,3,10,0,0.0,5,9,8,14,7,1650,66,112,17,125,81
D (R),16.303901437371664,10,11,13,0,0.0,17,11,7,7,5,1850,74,120,17,125,86
D (C),16.093086926762492,12,5,11,0,0.0,13,11,8,7,12,1750,71,129,17,125,83
D/WB (L),16.32580424366872,11,15,9,0,0.0,9,11,18,12,5,1650,66,98,17,125,73
GK,15.871321013004792,13,18,11,0,0.0,1,13,6,11,5,1650,66,105,17,125,70
M (C),16.0684462696783,14,14,9,0,0.0,10,12,11,10,13,1900,76,127,15,173,84
ST (C),16.10677618069815,11,15,11,0,0.0,13,7,6,8,11,1700,68,110,15,173,82
ST (C),16.40246406570842,12,11,12,0,0.0,7,9,14,12,6,1750,71,129,15,173,86
ST (C),16.06297056810404,10,4,10,0,0.0,3,9,6,11,9,1800,72,126,15,173,81
AM (RLC),16.4435318275154,13,4,14,0,0.0,16,12,20,19,12,1850,80,117,15,173,82
M (C),16.01095140314853,12,16,8,0,0.0,12,13,16,17,5,1650,66,91,15,173,78
M (C),16.306639288158795,9,7,11,0,0.0,4,13,13,10,12,1650,66,110,15,173,78
M (C),15.928815879534566,11,8,11,0,0.0,11,10,12,15,8,1800,73,121,15,173,84
M (C),16.10677618069815,9,7,11,0,0.0,9,11,7,11,9,1650,66,97,15,173,71
M (C),16.27104722792608,12,8,12,0,0.0,2,12,9,19,6,1750,71,130,15,173,86
M (C),16.399726214921287,12,17,10,0,0.0,17,11,15,12,13,1800,72,116,15,173,88
D (R),16.484599589322382,11,15,11,0,0.0,5,11,10,8,9,1800,73,108,15,173,85
D (L),16.035592060232716,11,16,13,0,0.0,13,11,13,13,9,1700,68,95,15,173,72
D (C),16.27104722792608,12,4,11,0,0.0,11,11,7,8,11,1700,68,96,15,173,74
D (C),16.317590691307323,9,16,12,0,0.0,4,11,6,14,11,1650,66,98,12,125,73
D (C),16.210814510609172,12,2,10,0,0.0,4,12,17,9,12,1850,75,115,15,173,82
D (C),16.48186173853525,12,14,12,0,0.0,3,12,15,17,7,1650,67,93,15,173,74
GK,16.418891170431213,11,7,10,0,0.0,9,12,9,12,12,1800,78,102,15,173,80
GK,16.06297056810404,14,10,12,0,0.0,8,12,6,9,5,1650,66,92,15,173,73
AM (RL),16.290212183436,10,16,12,0,0.0,5,9,8,16,13,1700,69,104,13,173,77
"M (R), AM (RL), ST (C)",16.476386036960985,9,2,9,0,0.0,13,9,7,11,13,1700,68,91,13,173,73
"DM, M (C)",16.39425051334702,11,18,11,0,0.0,6,9,10,16,5,1500,61,97,13,173,70
ST (C),16.366872005475702,10,9,13,0,0.0,9,13,9,16,12,1600,65,110,13,173,75
M/AM (R),16.164271047227928,12,12,13,0,0.0,9,12,15,14,9,1500,61,99,13,173,75
"DM, M (C)",15.854893908282,11,12,10,0,0.0,8,12,5,13,14,1650,67,101,13,173,72
D (R),16.06297056810404,12,8,12,0,0.0,13,10,9,20,5,1700,68,105,13,173,77
D (R),16.470910335386723,13,15,10,0,0.0,11,8,13,18,6,1550,63,94,13,173,71
D (L),15.917864476386036,13,13,12,0,0.0,5,10,4,7,9,1700,68,114,13,173,77
D (C),16.032854209445585,10,10,14,0,0.0,11,13,11,20,5,1650,67,124,13,173,77
D (C),16.479123887748116,11,15,13,0,0.0,2,11,8,13,10,1550,63,101,13,173,71
GK,15.983572895277208,10,16,9,0,0.0,10,10,7,13,14,1500,61,95,13,173,64
GK,16.37782340862423,12,15,10,0,0.0,12,10,8,13,14,1600,64,104,13,173,65
M/AM (L),16.057494866529773,10,3,12,0,0.0,14,13,9,13,9,1650,67,103,15,125,73
AM (R),16.344969199178646,10,6,10,0,0.0,7,11,8,9,6,1650,67,100,15,125,80
"DM, M (C)",16.479123887748116,12,16,12,0,0.0,11,10,10,11,8,1550,63,108,15,125,72
DM,15.964407939767282,12,3,11,0,0.0,2,12,13,11,10,1500,61,94,15,125,65
M (C),15.983572895277208,9,13,8,0,0.0,15,10,15,13,10,1650,67,99,15,125,71
DM,16.041067761806982,10,6,9,0,0.0,9,12,8,18,5,1700,69,125,15,125,79
D (R),16.470910335386723,10,6,13,0,0.0,13,12,8,8,5,1750,70,106,15,125,76
D (C),16.04928131416838,12,11,9,0,0.0,10,13,7,11,12,1650,66,96,15,125,72
D (C),16.197125256673512,11,11,11,0,0.0,4,12,7,11,5,1550,63,101,15,125,73
D (C),16.35318275154004,11,12,12,0,0.0,14,12,8,10,5,1700,69,112,15,125,81
D (L),16.465434633812457,12,16,10,0,0.0,12,11,10,17,5,1700,69,116,15,125,84
D (C),16.49828884325804,10,11,14,0,0.0,11,11,15,19,7,1750,70,100,15,125,78
GK,16.125941136208077,13,7,11,0,0.0,8,10,19,20,8,1500,60,106,15,125,67
M/AM (C),16.18343600273785,10,7,13,0,0.0,10,10,7,9,6,1400,56,74,12,125,61
M/AM (L),16.246406570841888,10,16,10,0,0.0,11,12,10,18,13,1400,56,81,12,125,67
D (R),16.021902806297057,10,2,13,0,0.0,8,11,6,18,11,1400,56,86,12,125,64
M/AM (L),16.128678986995208,14,15,12,0,0.0,14,12,7,11,10,1400,56,77,12,125,68
M/AM (R),15.917864476386036,14,4,12,0,0.0,16,11,7,10,7,1400,57,97,12,125,70
M (C),16.32580424366872,12,14,12,0,0.0,4,10,7,18,14,1450,59,101,12,125,71
GK,16.093086926762492,9,10,12,0,0.0,4,11,9,16,7,1500,61,103,12,125,62
D (C),16.087611225188226,11,4,10,0,0.0,13,9,10,17,13,1500,60,96,12,125,65
D (RC),15.838466803559205,10,9,12,0,0.0,11,10,7,11,5,1550,63,109,12,125,76
M/AM (R),15.85763175906913,8,3,10,0,0.0,2,11,10,19,8,1500,61,80,12,125,61
"AM (R), ST (C)",16.490075290896645,13,8,11,0,0.0,15,13,10,16,6,1550,63,92,12,125,77
D (C),16.407939767282684,12,12,12,0,0.0,9,12,9,19,10,1550,63,99,12,125,73
ST (C),16.145106091718002,10,8,12,0,0.0,13,12,7,11,12,1550,63,109,12,125,77
M/AM (C),16.16700889801506,12,14,11,0,0.0,10,11,5,16,7,1550,63,104,12,125,71
D (C),16.076659822039698,11,3,8,0,0.0,3,13,14,7,5,1600,64,92,12,125,70
ST (C),16.37782340862423,10,18,10,96,6.65,11,10,7,8,15,1800,72,127,16,173,84
ST (C),16.427104722792606,9,11,10,0,0.0,9,13,15,14,15,1550,63,93,16,173,77
M (R),16.462696783025326,11,9,12,0,0.0,3,10,20,12,10,1550,62,83,16,173,73
"DM, M (C)",15.953456536618754,11,8,9,0,0.0,10,14,13,8,9,1550,62,97,16,173,72
D (R),16.484599589322382,10,10,11,7,0.0,11,11,20,13,8,1700,68,97,16,173,78
D (R),16.37782340862423,9,15,13,0,0.0,16,11,9,7,7,1650,66,101,16,173,75
D (C),16.432580424366872,14,4,10,0,0.0,10,10,6,8,6,1650,66,98,16,173,77
D (RC),16.309377138945926,9,10,12,0,0.0,11,9,5,17,5,1500,61,98,16,173,71
GK,16.45448323066393,11,11,12,0,0.0,10,10,7,10,11,1750,71,116,16,173,75
GK,18.028747433264886,10,7,10,0,0.0,6,9,20,8,13,50,51,57,13,94,54
D (C),16.076659822039698,7,12,9,0,0.0,12,11,3,12,5,750,43,85,18,173,58
M/AM (RC),16.451745379876797,13,17,12,0,0.0,6,11,1,18,5,900,46,80,18,173,61
D/WB (R),15.950718685831623,13,9,13,0,0.0,4,14,8,14,5,550,41,84,18,173,50
D/WB (R),16.306639288158795,13,7,12,0,0.0,10,10,7,11,7,900,44,87,18,173,53
"DM, M (C)",15.980835044490075,13,8,11,0,0.0,14,10,9,13,12,600,41,98,18,173,55
AM (RLC),16.314852840520192,11,17,13,0,0.0,3,11,5,8,13,650,45,73,18,173,60
"DM, M (C)",16.531143052703626,12,8,12,0,0.0,11,12,7,13,6,750,44,79,18,173,50
"DM, M (C)",16.123203285420946,10,17,9,0,0.0,9,11,8,13,9,900,45,90,18,173,59
"AM (RLC), ST (C)",16.470910335386723,10,16,10,0,0.0,1,9,7,20,5,650,46,73,18,173,59
M/AM (R),16.358658453114305,12,5,12,0,0.0,3,11,6,20,7,750,43,85,18,173,60
ST (C),16.427104722792606,10,8,12,0,0.0,12,12,5,15,10,1050,45,72,18,173,60
GK,18.250513347022586,13,17,11,0,0.0,13,10,11,18,5,850,70,98,13,85,73
GK,16.125941136208077,11,8,9,0,0.0,2,10,9,17,5,1000,45,87,19,173,50
D (RC),16.49281314168378,13,14,12,0,0.0,15,12,6,17,6,500,48,84,19,173,61
"DM, M (C)",16.449007529089666,10,13,11,0,0.0,5,12,17,12,6,400,45,95,19,173,58
AM (LC),16.490075290896645,10,18,12,0,0.0,11,13,7,17,11,1100,43,104,19,173,60
M/AM (RL),16.23271731690623,10,15,10,0,0.0,4,10,14,20,12,450,41,87,19,173,58
GK,16.501026694045173,12,12,11,0,0.0,1,11,6,14,12,550,41,88,19,173,49
M (C),18.053388090349078,10,12,14,0,0.0,12,11,11,15,6,550,51,61,8,107,51
ST (C),21.117043121149898,13,8,12,45,7.7,1,11,10,15,6,1000,70,85,2,73,70
ST (C),16.347707049965777,11,13,10,0,0.0,6,11,11,14,6,850,43,86,16,120,58
GK,17.02943189596167,12,10,13,0,0.0,13,11,9,17,11,700,45,82,17,173,50
D/WB (R),16.44079397672827,10,2,10,0,0.0,11,11,14,11,10,650,45,75,17,173,50
ST (C),15.93429158110883,12,15,12,0,0.0,10,11,3,20,13,850,45,88,17,173,60
M (C),16.098562628336754,10,8,11,0,0.0,14,11,3,17,5,700,45,84,17,173,51
M/AM (C),16.34223134839151,11,15,9,0,0.0,14,8,10,18,11,700,43,86,17,173,55
"AM (R), ST (C)",16.136892539356605,12,15,13,0,0.0,16,11,18,7,6,1000,46,89,17,173,61
D (C),16.355920602327174,13,10,13,0,0.0,6,13,8,7,13,600,41,91,17,173,56
D/WB (R),16.060232717316907,12,8,13,0,0.0,6,12,6,8,8,700,41,82,17,173,53
D (C),16.49281314168378,9,8,10,0,0.0,8,13,4,13,13,900,41,86,17,173,47
M (C),16.20807665982204,12,14,11,0,0.0,9,11,8,20,5,850,41,94,17,173,59
ST (C),15.978097193702943,11,11,12,0,0.0,12,12,5,7,14,850,41,84,17,173,55
D (C),15.93429158110883,12,6,12,0,0.0,5,9,5,20,10,750,46,90,17,173,61
M (C),15.939767282683095,10,4,10,0,0.0,12,12,6,9,10,850,41,86,17,173,51
M/AM (C),16.205338809034906,10,9,9,0,0.0,12,10,9,19,12,1650,66,117,19,173,74
GK,16.210814510609172,12,18,10,0,0.0,14,13,10,19,12,1650,66,91,19,173,70
ST (C),16.40246406570842,11,11,12,0,0.0,4,11,7,13,8,1650,66,100,19,173,77
ST (C),16.347707049965777,9,11,12,0,0.0,11,12,5,7,15,1650,66,105,19,173,78
D (L),15.958932238193018,10,18,12,0,0.0,10,11,15,14,9,1650,66,113,19,173,75
DM,16.281998631074607,12,5,11,0,0.0,11,11,19,16,5,1700,68,100,19,173,76
D (C),16.32306639288159,9,15,11,0,0.0,1,11,17,11,13,1700,69,104,19,173,74
M/AM (C),16.39425051334702,11,13,9,0,0.0,16,9,9,10,6,1750,71,127,19,173,81
GK,16.32306639288159,11,13,13,0,0.0,13,14,9,19,7,1850,75,123,19,173,80
D (R),16.112251882272417,9,6,12,0,0.0,8,12,9,8,6,1850,74,111,19,173,82
"AM (C), ST (C)",17.412731006160165,12,7,9,0,0.0,7,10,7,11,13,150,53,87,10,116,59
D (R),16.202600958247775,11,15,12,0,0.0,7,11,4,14,6,1900,76,125,17,173,89
D (C),17.363449691991786,11,15,13,25,6.6,3,9,8,17,12,300,56,96,10,116,72
D (L),17.760438056125942,11,12,11,0,0.0,3,10,11,13,7,50,51,66,10,116,55
D (C),16.473648186173854,11,7,12,0,0.0,8,13,20,16,13,1900,77,130,17,173,84
M (C),18.069815195071868,11,5,11,0,0.0,1,11,17,17,6,50,51,72,10,116,53
GK,16.298425735797398,11,16,11,0,0.0,7,10,8,17,6,1650,66,101,17,173,69
D (L),15.945242984257359,10,6,10,0,0.0,1,11,6,14,9,1650,66,117,17,173,80
GK,16.306639288158795,12,18,10,0,0.0,4,11,20,7,5,1650,66,112,17,173,68
ST (C),16.216290212183434,10,4,10,0,0.0,8,10,7,18,7,1700,68,92,17,173,77
D (R),16.0684462696783,14,5,11,0,0.0,13,13,7,13,5,1700,68,106,17,173,77
D (C),16.098562628336754,12,12,9,0,0.0,11,11,10,15,13,1700,68,105,17,173,74
ST (C),16.355920602327174,11,7,13,0,0.0,3,11,9,18,5,1800,72,113,16,125,84
M/AM (R),15.838466803559205,11,5,10,0,0.0,6,9,15,17,5,1750,71,118,16,125,81
M/AM (C),15.939767282683095,10,19,11,0,0.0,7,13,16,12,9,1700,68,107,16,125,80
"DM, M (C)",16.15879534565366,12,8,12,0,0.0,3,10,8,11,5,1850,74,113,16,125,83
DM,16.3750855578371,11,10,10,0,0.0,5,11,6,13,14,1850,74,102,16,125,75
D (R),16.087611225188226,12,8,10,0,0.0,8,12,15,20,8,1850,74,130,16,125,86
D (L),16.36413415468857,11,10,12,0,0.0,6,11,9,9,8,1850,74,115,16,125,84
D (C),16.227241615331966,10,10,11,0,0.0,12,11,7,19,10,1850,74,127,16,125,84
D (C),16.32580424366872,10,11,11,0,0.0,9,9,8,8,6,1800,73,116,16,125,83
D (C),16.33949349760438,13,11,13,0,0.0,16,11,8,19,7,1750,70,106,16,125,84
D (C),16.438056125941138,11,17,11,0,0.0,6,10,11,17,13,1650,67,99,16,125,76
D (L),16.112251882272417,12,18,8,0,0.0,11,11,7,12,7,1650,67,117,16,125,80
D (RC),16.15605749486653,9,7,10,0,0.0,8,13,10,14,6,1700,68,110,16,125,74
GK,16.09034907597536,10,5,11,0,0.0,15,12,8,12,8,1850,74,111,16,125,75
GK,16.35044490075291,11,7,12,0,0.0,4,9,6,10,5,1650,66,106,16,125,71
GK,16.83778234086242,11,3,12,0,0.0,5,12,8,12,6,550,45,99,18,173,51
D (C),17.02943189596167,11,7,11,0,0.0,1,14,8,12,8,600,45,91,18,173,54
D (C),17.4839151266256,10,6,11,0,0.0,12,11,10,7,7,1150,45,102,18,173,61
GK,16.28747433264887,10,2,11,0,0.0,10,11,14,8,8,750,40,88,18,173,50
ST (C),15.887748117727584,10,10,14,0,0.0,1,13,18,10,7,750,41,80,18,173,59
D/WB (L),17.357973990417523,8,12,11,0,0.0,14,12,8,17,5,900,40,77,18,173,50
D/WB (L),16.32306639288159,10,5,14,0,0.0,14,9,14,10,10,400,45,103,18,173,51
D/WB (R),15.874058863791923,11,15,10,0,0.0,4,10,7,7,8,850,45,108,18,173,56
ST (C),16.4435318275154,12,18,12,0,0.0,6,10,7,9,9,650,47,93,18,173,66
D (C),16.145106091718002,11,17,13,0,0.0,4,11,8,11,12,550,46,97,18,173,59
M (C),16.095824777549623,14,9,12,0,0.0,5,12,9,16,8,800,46,90,18,173,64
GK,16.073921971252567,10,12,12,0,0.0,12,12,14,14,7,1100,45,92,18,173,53
D (C),16.45722108145106,10,6,13,0,0.0,9,9,11,12,7,1050,43,96,18,173,54
M/AM (C),16.4435318275154,9,4,9,0,0.0,3,14,7,17,9,850,43,106,18,173,55
AM (RLC),16.358658453114305,11,14,11,0,0.0,9,12,5,18,12,750,43,97,18,173,59
M/AM (R),16.262833675564682,10,7,12,0,0.0,11,10,6,11,12,650,42,88,18,173,59
M/AM (L),16.355920602327174,12,12,9,0,0.0,3,12,8,20,15,350,42,107,18,173,61
"DM, M (C)",16.030116358658454,13,7,8,0,0.0,11,10,17,9,5,1000,41,86,18,173,52
D (RC),16.11498973305955,12,3,9,0,0.0,4,12,9,19,5,650,41,110,18,173,50
AM (RLC),16.309377138945926,11,11,12,0,0.0,8,12,10,15,13,750,40,87,18,173,50
ST (C),15.983572895277208,10,7,11,0,0.0,7,10,4,8,11,700,41,83,18,173,53
D (C),16.711841204654345,10,12,12,0,0.0,12,9,7,12,10,1500,80,90,14,116,80
GK,16.27652292950034,14,13,11,0,0.0,8,14,9,16,10,1000,70,81,14,116,70
D (C),17.418206707734427,9,5,10,0,0.0,7,9,11,16,6,1000,70,72,14,116,70
D (C),16.501026694045173,10,13,9,0,0.0,11,13,8,9,8,1200,43,87,18,173,51
AM (RL),16.32580424366872,11,14,14,0,0.0,7,12,6,10,5,900,44,91,18,173,64
"AM (RL), ST (C)",16.005475701574266,12,10,9,0,0.0,8,11,15,8,11,800,43,89,12,120,51
M (C),16.17248459958932,10,13,11,0,0.0,9,10,7,9,8,500,41,76,18,173,60
M (C),16.35044490075291,13,8,10,0,0.0,16,12,4,15,7,650,41,95,18,173,58
M (C),16.449007529089666,12,14,12,0,0.0,9,11,5,12,8,1700,68,97,15,173,73
M (C),16.18069815195072,11,13,12,0,0.0,8,13,15,20,9,1650,66,93,15,173,77
M (C),16.435318275154003,12,14,10,0,0.0,11,9,9,16,6,1650,67,94,15,173,75
M/AM (C),16.490075290896645,10,11,10,0,0.0,5,12,7,17,9,1750,70,103,15,173,86
M (C),16.28473648186174,12,13,13,0,0.0,1,11,8,20,10,1800,73,110,15,173,83
D (C),16.306639288158795,11,2,8,0,0.0,18,12,5,14,7,1800,73,122,15,173,81
D (L),16.39151266255989,12,14,12,0,0.0,10,11,11,10,8,1850,74,113,15,173,83
AM (L),16.435318275154003,10,3,11,0,0.0,3,10,9,10,14,1750,70,111,15,173,76
AM (C),16.298425735797398,11,16,12,0,0.0,7,10,14,9,12,1700,69,112,15,173,83
M (L),16.249144421629023,12,18,8,0,0.0,7,12,9,12,10,1850,74,113,15,173,87
"D (C), DM, M (C)",16.298425735797398,12,11,11,0,0.0,5,11,16,12,13,1650,66,109,15,173,76
AM (C),16.347707049965777,13,5,12,0,0.0,7,13,10,12,7,1850,74,123,15,173,81
DM,16.421629021218344,12,3,11,0,0.0,5,12,9,9,13,1750,71,109,15,173,73
AM (C),16.424366872005475,13,7,14,0,0.0,2,9,9,16,12,1850,74,119,15,173,82
M (C),16.210814510609172,12,5,11,0,0.0,14,9,11,17,5,1850,74,129,15,173,82
D (R),16.030116358658454,11,8,9,0,0.0,3,8,8,9,5,1800,73,110,15,173,82
D (L),16.413415468856947,10,19,9,0,0.0,7,11,11,15,6,1750,71,104,15,173,80
D (C),16.39425051334702,12,8,10,0,0.0,11,14,6,10,14,1750,71,119,15,173,84
D (C),16.194387405886378,13,5,11,0,0.0,17,11,5,13,9,1650,66,118,15,173,72
D (L),16.240930869267626,11,11,12,0,0.0,13,12,14,17,9,1700,68,116,15,173,83
D (C),16.4435318275154,10,8,12,0,0.0,11,12,11,19,11,1900,76,120,15,173,85
