Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
D (R),16.566735112936346,12,7,9,0,0.0,1,11,8,18,13,1500,65,47,17,185,15
M (C),19.89322381930185,11,12,12,2889,6.77,11,10,9,8,9,1250,75,17,10,73,0
AM (RL),17.31416837782341,10,12,11,0,0.0,8,11,10,18,10,1900,77,38,15,173,9
GK,17.00479123887748,10,10,11,0,0.0,8,14,3,12,8,50,33,66,10,134,1
D (C),17.32785763175907,9,5,13,0,0.0,11,12,8,13,7,50,30,60,10,134,2
"AM (RL), ST (C)",17.812457221081452,11,12,11,0,0.0,16,11,9,10,9,50,45,8,10,134,0
ST (C),17.190965092402465,10,6,12,0,0.0,5,11,15,7,11,50,39,55,10,134,0
M/AM (C),17.582477754962355,10,10,12,0,0.0,6,13,17,15,15,50,30,43,10,134,7
D (C),17.634496919917865,11,11,12,0,0.0,4,11,11,17,14,50,43,63,10,134,7
D (C),16.955509924709105,12,4,11,0,0.0,6,13,8,17,12,50,41,44,10,134,8
D (LC),17.631759069130734,13,16,11,0,0.0,11,14,13,9,9,700,42,56,10,134,3
GK,19.33744010951403,10,13,12,0,0.0,7,12,10,12,11,950,70,15,12,110,1
D (R),16.462696783025326,10,12,11,0,0.0,4,10,6,9,7,600,65,25,12,110,8
D (LC),23.09924709103354,9,11,12,1106,6.97,10,9,13,12,7,1750,85,11,2,73,0
D (C),17.31416837782341,10,11,9,0,0.0,11,10,7,7,10,850,58,30,12,110,6
AM (L),25.248459958932237,11,5,8,1751,6.67,7,10,10,20,10,1750,85,3,8,73,-1
AM (R),25.650924024640656,10,13,13,1213,6.94,12,11,7,8,12,1400,78,3,8,73,0
AM (RC),16.314852840520192,11,15,12,0,0.0,9,14,6,17,5,1800,72,37,16,173,11
D (LC),16.490075290896645,12,12,12,0,0.0,19,11,10,18,8,750,62,36,12,110,10
"AM (RC), ST (C)",16.16700889801506,9,12,9,0,0.0,6,10,10,20,5,650,70,43,12,110,13
AM (RLC),22.798083504449007,9,11,10,271,6.88,5,11,13,10,5,1500,80,16,8,73,0
ST (C),22.094455852156056,9,4,11,204,7.0,1,10,12,19,12,1600,82,16,7,73,0
M (C),21.399041752224505,9,16,12,0,0.0,4,11,13,20,6,1800,86,32,7,73,0
D (C),24.980150581793293,10,13,11,2234,6.65,9,13,5,8,11,1300,76,9,8,73,0
D (C),21.516769336071185,11,10,10,904,6.65,14,9,20,17,7,1500,80,36,8,73,0
"M (C), AM (LC)",16.380561259411362,10,12,13,0,0.0,15,12,9,19,14,1100,79,48,12,110,6
AM (RL),17.144421629021217,15,4,8,0,0.0,5,11,7,10,7,750,68,52,12,110,9
D (C),16.188911704312115,11,14,12,0,0.0,2,12,4,9,11,400,60,39,12,110,9
D (C),16.095824777549623,12,17,11,0,0.0,5,11,5,14,8,400,63,24,12,110,9
"DM, M (C)",16.227241615331966,12,14,10,0,0.0,9,11,17,10,12,950,78,40,12,110,4
"DM, M (C)",16.301163586584533,11,14,12,0,0.0,11,11,8,10,15,350,60,22,12,110,8
"M (L), AM (RL)",17.201916495550993,11,12,10,0,0.0,2,14,7,20,9,500,68,18,12,110,4
D (R),16.34223134839151,13,12,12,0,0.0,14,13,7,18,11,400,55,30,12,110,16
D (C),20.262833675564682,11,8,9,2876,6.93,6,11,12,17,11,750,72,27,10,85,3
"D (C), DM, M (C)",19.860369609856264,10,6,11,305,6.67,7,10,16,17,13,750,65,11,10,85,1
ST (C),18.34633812457221,12,7,9,0,0.0,8,10,10,10,5,500,52,38,9,80,1
D/WB (L),15.997262149212867,12,12,10,0,0.0,11,13,20,15,11,150,32,44,9,80,13
D (R),21.00205338809035,9,7,12,845,6.78,9,11,11,19,7,1200,74,26,7,73,1
D (C),17.352498288843258,11,12,10,0,0.0,14,13,9,11,3,1500,64,27,11,185,9
GK,16.829568788501028,10,12,12,0,0.0,8,12,8,17,3,1000,49,26,11,185,2
M/AM (L),16.468172484599588,9,13,12,0,0.0,8,10,10,13,5,1750,77,59,11,185,10
M (C),16.761122518822724,10,11,11,0,0.0,7,12,8,13,7,1250,52,24,11,185,6
D (R),16.7419575633128,10,13,14,0,0.0,15,10,8,12,5,1250,56,19,11,185,6
AM (RC),16.78576317590691,12,13,7,0,0.0,12,8,8,10,5,1250,56,12,11,185,0
D (L),16.580424366872005,9,10,6,0,0.0,10,9,6,13,5,1250,51,35,11,185,6
M/AM (L),16.76933607118412,13,15,12,0,0.0,13,11,9,7,6,1250,54,21,11,185,8
M/AM (C),17.776865160848732,10,9,11,0,0.0,9,9,9,14,5,1250,54,16,11,185,0
ST (C),16.50924024640657,13,12,11,0,0.0,9,12,7,8,4,1000,49,27,11,185,9
D (L),17.49486652977413,11,12,9,0,0.0,13,12,7,5,5,1000,55,31,11,185,13
D (C),18.080766598220396,11,11,9,0,0.0,7,11,8,8,4,1250,51,12,11,185,0
GK,17.71663244353183,11,12,7,0,0.0,1,11,9,11,3,1000,49,31,11,185,6
DM,17.76865160848734,11,2,9,0,0.0,12,13,9,16,5,750,52,32,14,178,8
ST (C),15.863107460643395,13,8,11,0,0.0,12,10,10,18,5,1250,65,59,18,160,16
D (C),16.303901437371664,10,13,11,0,0.0,6,12,16,8,13,850,66,43,18,160,14
D (RC),16.191649555099247,12,18,11,0,0.0,11,11,9,7,9,1350,78,50,18,160,16
M (C),16.45448323066393,14,6,10,0,0.0,15,11,13,18,13,1700,89,60,18,160,11
ST (C),16.301163586584533,12,13,12,0,0.0,4,10,13,10,14,1650,82,41,18,160,11
"DM, M (C)",15.92060232717317,10,19,12,0,0.0,7,10,15,15,9,1300,75,43,18,160,16
GK,15.978097193702943,9,10,10,0,0.0,7,11,17,15,12,950,65,62,18,160,5
D/WB (L),16.00273785078713,9,19,11,0,0.0,2,10,8,9,7,1300,79,46,18,160,15
D (R),16.48186173853525,10,15,12,0,0.0,14,11,17,19,10,750,69,61,18,160,16
D (C),16.177960301163587,12,13,12,0,0.0,4,11,8,11,10,1950,78,42,19,173,12
M (C),16.205338809034906,10,4,11,0,0.0,6,12,8,18,7,1450,72,46,18,160,9
D/WB/M (R),16.514715947980836,11,10,11,14,0.0,6,10,10,20,8,1800,72,41,16,173,10
D/WB (L),15.865845311430528,10,4,11,0,0.0,5,10,15,12,11,1250,60,61,20,185,12
AM (RL),16.758384668035593,10,12,8,0,0.0,14,13,14,8,12,1500,60,52,20,185,12
"DM, M (C)",16.61327857631759,12,16,9,0,0.0,3,11,11,11,13,2000,84,57,20,185,5
"AM (RLC), ST (C)",16.479123887748116,11,13,10,0,0.0,9,11,19,13,11,1500,65,61,20,185,19
D (C),16.32306639288159,12,12,12,0,0.0,5,10,8,11,7,1250,55,49,20,185,16
GK,16.462696783025326,11,7,12,0,0.0,17,11,8,18,9,1250,60,71,20,185,9
"M (RLC), AM (L)",16.826830937713893,12,10,13,0,0.0,13,12,10,11,14,1800,72,42,16,173,13
"AM (L), ST (C)",16.265571526351813,12,16,13,0,0.0,7,13,8,18,6,1250,60,59,17,185,16
D (C),33.13347022587269,12,16,10,0,0.0,7,12,8,17,7,1300,53,7,10,94,-3
AM (RLC),18.967830253251197,10,5,10,429,6.57,6,11,11,12,7,1800,86,43,8,73,2
"D (C), DM, M (C)",26.053388090349078,15,10,11,3225,6.86,12,15,11,13,11,1300,76,1,8,73,0
"D (C), DM",20.61601642710472,7,11,9,3124,6.57,13,11,13,19,9,1500,80,32,8,73,8
D (C),18.80082135523614,11,5,11,3182,6.59,8,11,11,11,13,1300,76,32,8,73,12
AM (L),27.920602327173167,14,14,13,98,7.0,2,11,8,8,6,1750,85,0,2,73,0
ST (C),19.564681724845997,11,15,9,420,6.65,5,8,10,9,14,3250,90,2,9,94,0
D (C),18.27789185489391,10,13,9,18,6.7,2,13,11,13,6,1300,77,41,12,173,12
GK,16.10403832991102,11,5,9,0,0.0,11,13,9,14,9,1250,54,47,17,185,6
"D (R), DM, M (C)",16.060232717316907,10,18,11,0,0.0,9,12,10,15,9,1250,58,55,17,185,17
"DM, M (C)",16.49828884325804,10,14,12,0,0.0,6,12,7,10,12,1250,56,53,17,185,7
"DM, M (C)",16.06297056810404,9,3,13,0,0.0,9,11,4,18,13,700,31,62,14,107,3
"M (C), AM (RLC)",16.605065023956193,10,6,12,0,0.0,8,12,16,14,6,750,30,60,14,107,5
"M (C), AM (RLC)",16.7419575633128,10,12,11,0,0.0,6,10,15,8,12,800,30,60,14,107,7
D (C),16.281998631074607,12,17,13,0,0.0,13,13,16,14,7,450,36,55,14,107,12
M/AM (C),16.290212183436,11,9,9,0,0.0,7,12,14,11,14,800,44,66,14,107,7
M (C),18.770704996577688,12,11,13,0,0.0,6,10,6,18,5,50,30,28,4,46,2
ST (C),18.50239561943874,13,14,9,0,0.0,10,13,10,19,6,1000,72,30,20,158,13
"AM (L), ST (C)",18.217659137577,14,15,13,0,0.0,10,10,10,12,5,250,52,21,9,94,9
"DM, M/AM (C)",16.520191649555098,11,5,10,0,0.0,8,10,20,19,13,1000,70,43,15,130,16
"AM (R), ST (C)",17.779603011635867,10,17,13,0,0.0,14,11,4,20,5,750,79,46,18,173,6
"AM (RC), ST (C)",16.093086926762492,11,4,16,0,0.0,13,15,18,12,13,1250,85,48,15,130,7
"AM (RL), ST (C)",18.069815195071868,9,11,10,0,0.0,14,12,19,13,6,700,54,53,10,173,11
D (C),16.826830937713893,11,2,8,0,0.0,11,11,8,16,12,1650,67,28,11,125,8
"D (RC), DM",17.423682409308693,12,16,9,0,0.0,11,11,8,7,5,1700,68,26,12,94,12
D (C),16.229979466119097,10,15,12,0,0.0,3,12,9,14,9,1700,69,32,12,94,5
D (C),16.199863107460644,10,8,11,0,0.0,3,11,6,18,11,1600,64,49,12,94,9
"AM (L), ST (C)",16.553045859000683,11,13,12,0,0.0,12,9,13,17,7,1800,73,27,12,94,9
D (C),17.48665297741273,10,10,10,0,0.0,14,8,8,18,13,1700,68,25,12,94,10
"DM, M (C)",17.357973990417523,12,10,12,0,0.0,13,11,14,14,8,1650,67,23,12,94,9
ST (C),17.26488706365503,9,18,10,0,0.0,5,9,16,13,11,1650,67,29,12,94,11
M (RC),17.45927446954141,12,6,13,0,0.0,8,13,7,15,6,1650,67,18,12,94,4
GK,16.191649555099247,11,15,9,0,0.0,5,10,9,7,13,1650,66,47,16,173,1
GK,17.322381930184804,11,9,9,0,0.0,9,10,7,10,15,1650,67,33,9,94,2
GK,18.105407255304584,9,15,11,0,0.0,8,12,12,15,5,1850,75,34,9,94,1
GK,17.193702943189596,12,18,10,0,0.0,9,10,19,11,6,1650,67,20,9,94,2
WB (L),18.46406570841889,13,1,10,0,0.0,18,11,10,16,8,1700,68,8,9,94,0
D (C),17.22381930184805,11,3,13,0,0.0,1,12,9,16,11,1650,67,32,9,94,3
D (C),16.859685147159478,10,15,12,0,0.0,16,10,7,19,13,1700,68,41,9,94,5
D/WB/M/AM (L),17.322381930184804,12,14,10,45,6.3,11,10,10,19,13,1850,74,18,9,94,3
"DM, M (C)",18.127310061601644,13,14,11,0,0.0,5,8,9,18,5,1900,76,43,9,94,11
"D (C), DM",17.363449691991786,11,15,12,141,6.87,11,12,10,11,7,1800,73,44,9,94,12
M/AM (C),17.451060917180012,11,14,10,0,0.0,17,12,8,18,9,1650,67,17,9,94,3
ST (C),18.349075975359344,11,17,9,0,0.0,14,12,10,12,12,1900,76,18,9,94,2
M/AM (L),17.94113620807666,12,3,9,0,0.0,12,11,11,10,5,1700,69,24,9,94,5
AM (RL),17.48665297741273,11,10,12,0,0.0,9,9,9,16,15,1650,67,17,9,94,4
ST (C),17.492128678986994,12,11,9,0,0.0,9,11,11,16,6,1650,67,33,9,94,4
"AM (RLC), ST (C)",17.2621492128679,12,5,11,90,6.75,3,11,9,12,9,1700,69,51,9,94,12
ST (C),16.758384668035593,9,10,14,0,0.0,4,11,10,14,11,1700,69,36,9,94,5
AM (R),16.451745379876797,9,12,11,0,0.0,4,9,9,9,5,1700,68,21,15,173,6
"M (R), AM (RL)",16.355920602327174,12,6,10,0,0.0,6,12,6,11,6,900,63,33,12,110,9
AM (RLC),16.396988364134156,11,8,12,0,0.0,1,13,10,16,10,50,35,37,9,107,3
M/AM (C),16.539356605065024,12,12,10,0,0.0,10,12,17,15,5,50,30,58,9,107,7
M (C),16.761122518822724,11,15,11,0,0.0,5,12,8,9,7,50,32,64,9,107,4
ST (C),16.246406570841888,10,3,11,0,0.0,3,10,17,14,8,50,36,72,9,107,7
GK,16.098562628336754,10,16,11,0,0.0,9,12,6,18,13,50,30,60,9,107,2
M (C),16.213552361396303,14,7,10,0,0.0,12,10,4,11,10,50,32,64,9,107,4
D (R),16.145106091718002,10,2,10,0,0.0,8,12,8,15,8,50,30,60,9,107,1
M (C),18.32991101984942,9,4,11,0,0.0,14,11,7,7,10,750,65,25,12,104,2
GK,18.11088295687885,11,11,11,1827,6.93,12,10,12,14,6,1550,86,57,3,104,14
GK,16.306639288158795,12,5,9,0,0.0,4,11,6,12,7,500,43,48,16,173,1
D (C),17.037645448323065,12,16,12,0,0.0,16,8,9,10,7,650,58,36,18,173,18
M (C),16.246406570841888,12,14,11,0,0.0,10,13,6,15,10,500,48,45,18,173,20
ST (C),16.83778234086242,12,6,11,0,0.0,12,11,9,7,7,600,63,42,8,110,3
ST (C),16.449007529089666,12,3,11,0,0.0,6,12,6,17,11,1000,70,44,17,160,10
"AM (RLC), ST (C)",16.13141683778234,12,15,14,0,0.0,10,9,9,15,14,1650,78,40,17,160,24
GK,18.015058179329227,10,6,9,0,0.0,8,10,9,20,7,1000,75,44,8,158,3
D (C),16.372347707049965,11,7,10,0,0.0,4,10,20,14,13,850,48,63,18,173,1
AM (RLC),17.88637919233402,8,9,11,0,0.0,3,10,8,17,7,50,44,27,4,46,0
"DM, M (C)",21.404517453798768,11,5,10,178,6.67,5,10,10,9,9,1250,75,32,8,73,0
M/AM (C),21.00205338809035,12,15,11,5,0.0,10,10,12,20,12,1450,79,32,8,73,0
"DM, M (C)",16.355920602327174,11,14,11,0,0.0,6,10,8,13,8,1750,70,44,15,173,9
ST (C),17.694729637234772,8,12,10,0,0.0,5,11,19,10,5,750,65,59,16,158,15
D (C),16.0684462696783,13,12,13,0,0.0,14,11,7,17,12,1650,66,34,16,96,10
ST (C),15.84394250513347,8,9,10,0,0.0,1,10,15,17,6,1400,60,34,16,96,9
GK,18.414784394250514,11,13,11,0,0.0,13,12,9,20,14,750,64,45,18,158,7
D (L),18.76249144421629,10,15,13,0,0.0,11,9,9,14,7,750,64,31,14,158,11
GK,17.333333333333332,12,12,10,0,0.0,7,9,8,10,5,600,60,34,14,158,3
ST (C),16.591375770020534,10,12,9,0,0.0,7,10,7,18,7,750,65,65,20,158,14
D (RC),18.431211498973305,8,16,11,0,0.0,6,9,14,15,8,750,65,34,12,158,12
M (C),17.859000684462696,8,11,11,0,0.0,11,11,7,9,6,250,50,46,12,104,6
D (R),18.65571526351814,11,4,9,0,0.0,4,11,9,18,6,750,70,35,10,104,5
DM,15.97535934291581,10,14,11,242,6.9,2,11,4,10,9,1600,69,59,14,94,15
D (L),16.021902806297057,11,19,12,33,6.6,14,11,9,7,13,1850,80,54,14,94,15
GK,16.262833675564682,12,11,11,0,0.0,4,9,13,10,11,1500,66,25,14,94,8
ST (C),16.49555099247091,11,16,12,0,0.0,14,10,9,9,11,1450,64,35,14,94,15
AM (R),16.016427104722794,12,8,14,0,0.0,3,10,19,19,8,1500,66,6,14,94,1
D (C),16.862422997946613,11,13,11,0,0.0,10,12,11,9,9,1800,73,45,16,173,14
GK,16.134154688569474,12,3,10,0,0.0,5,10,9,16,10,1250,72,55,17,160,5
GK,16.309377138945926,9,11,10,0,0.0,7,11,14,8,12,1200,49,39,10,94,3
D (C),16.331279945242983,9,6,10,0,0.0,6,12,8,7,8,1200,49,33,10,94,9
D (C),16.05201916495551,11,14,10,0,0.0,8,13,7,15,7,1250,50,28,10,94,8
AM (RL),19.734428473648187,13,18,12,382,6.79,9,11,10,10,8,50,62,20,12,86,6
M (C),19.742642026009584,12,7,11,1141,6.75,10,12,10,13,5,650,68,20,12,86,6
M (C),20.396988364134156,14,8,10,1300,6.93,14,11,10,7,14,1050,76,29,11,94,2
D/WB (R),18.49965776865161,10,10,10,0,0.0,12,11,12,14,8,1250,85,32,11,96,1
D (C),16.435318275154003,12,11,12,0,0.0,13,9,9,15,7,1500,61,47,12,94,10
"DM, M (C)",18.431211498973305,10,5,12,3840,6.74,8,11,10,19,5,200,51,33,7,46,9
D (RC),17.44284736481862,12,12,12,0,0.0,9,12,6,13,7,1550,62,20,13,94,9
D (LC),17.43463381245722,9,4,14,0,0.0,1,11,6,9,9,1550,62,35,13,94,6
D (C),17.073237508555785,13,5,9,0,0.0,20,13,11,20,7,1550,62,23,13,94,9
"D (C), DM",16.635181382614647,11,15,12,0,0.0,10,13,9,11,5,1550,62,35,13,94,11
M/AM (C),17.347022587268995,10,7,10,0,0.0,12,10,9,11,10,1550,62,31,13,94,7
AM (C),17.086926762491444,11,7,10,0,0.0,8,9,8,16,10,1400,57,18,13,94,5
AM (RLC),17.49760438056126,13,11,14,0,0.0,9,12,17,18,10,1550,62,26,13,94,5
"AM (RL), ST (C)",17.399041752224505,11,8,10,0,0.0,12,10,7,11,10,1550,62,23,13,94,9
"AM (C), ST (C)",17.22108145106092,10,4,11,0,0.0,3,10,10,17,6,1550,62,32,13,94,9
"AM (C), ST (C)",16.42984257357974,12,3,12,0,0.0,12,10,8,18,10,1550,63,40,13,94,14
ST (C),16.043805612594113,12,8,11,0,0.0,2,11,7,12,8,1550,63,44,13,94,14
"AM (C), ST (C)",16.465434633812457,10,9,9,0,0.0,13,10,9,19,12,1600,64,47,13,94,5
AM (RL),16.501026694045173,10,8,10,0,0.0,14,10,19,9,10,1500,61,39,13,94,9
AM (RL),16.35318275154004,9,10,12,0,0.0,7,12,6,7,11,1550,63,43,13,94,16
D/WB/M (R),16.40246406570842,10,17,11,0,0.0,12,9,17,18,6,1550,67,39,13,94,9
M/AM (C),15.893223819301848,10,16,12,0,0.0,9,11,7,13,13,1450,59,40,13,94,5
M (C),16.16700889801506,9,10,9,0,0.0,11,12,9,15,5,1650,67,49,13,94,9
DM,16.413415468856947,12,17,13,0,0.0,11,10,7,10,7,1600,64,34,13,94,9
"D (R), M (C)",16.421629021218344,10,13,10,0,0.0,15,11,18,17,6,1700,68,52,13,94,16
"D (R), DM",16.09034907597536,12,10,13,0,0.0,4,12,9,12,6,1250,51,36,13,94,9
D (LC),15.997262149212867,10,17,10,0,0.0,10,11,15,18,8,1600,64,43,13,94,16
D (C),16.438056125941138,13,10,10,0,0.0,3,12,5,14,9,1400,56,20,13,94,7
D (C),16.021902806297057,11,4,10,0,0.0,18,11,17,14,5,1500,60,35,13,94,3
GK,16.194387405886378,10,17,12,0,0.0,9,9,9,13,6,1600,64,39,13,94,7
GK,16.28473648186174,12,14,12,0,0.0,8,11,9,18,14,1400,57,26,13,94,3
D (R),18.691307323750856,10,19,11,0,0.0,8,12,11,11,7,500,60,9,11,73,0
"AM (RLC), ST (C)",22.69678302532512,12,14,12,243,6.46,12,14,12,14,8,2000,90,10,13,87,0
D/WB (RL),18.379192334017795,11,11,11,7,0.0,10,10,20,11,6,1250,75,28,12,110,5
"WB/M (L), AM (LC)",15.931553730321697,11,15,10,0,0.0,12,9,7,11,5,50,38,61,17,107,17
M (C),15.94798083504449,10,13,11,0,0.0,11,12,9,20,6,1250,80,45,17,160,11
"M (C), AM (RC)",16.123203285420946,11,4,11,0,0.0,13,10,12,12,4,850,54,69,17,107,6
"D (C), DM",16.112251882272417,14,19,10,0,0.0,4,10,6,18,5,650,41,46,17,107,14
"M (C), AM (RC)",16.16974674880219,13,14,11,0,0.0,4,10,7,13,5,750,48,47,17,107,15
"D (LC), WB (L)",16.744695414099933,13,4,10,0,0.0,11,13,10,13,4,750,44,64,17,107,10
D/WB (R),16.355920602327174,9,7,11,0,0.0,3,12,4,16,6,700,42,57,17,107,16
"M (C), AM (RLC)",16.16974674880219,10,5,9,0,0.0,7,10,9,11,9,750,51,59,17,107,6
D (RC),16.306639288158795,10,5,13,0,0.0,7,10,7,20,3,800,49,51,17,107,14
"AM (RL), ST (C)",16.804928131416837,8,12,12,0,0.0,7,10,7,13,5,750,46,47,17,107,16
AM (RL),16.657084188911703,10,3,13,0,0.0,9,14,7,8,10,900,54,45,17,107,7
GK,16.303901437371664,11,10,10,0,0.0,4,11,6,15,5,600,42,20,17,107,2
M (C),16.53388090349076,12,8,11,0,0.0,6,11,3,18,5,650,44,49,17,107,19
ST (C),17.34428473648186,10,2,10,0,0.0,1,10,17,20,5,1700,68,45,17,140,12
"DM, M (C)",17.267624914442163,10,3,11,37,6.7,11,9,5,18,8,50,35,29,5,91,0
D (C),19.33196440793977,11,1,13,0,0.0,3,8,19,7,12,50,40,26,5,91,0
"DM, M (C)",17.831622176591377,11,18,9,0,0.0,10,14,9,14,12,1850,74,17,8,94,2
D/WB (L),17.423682409308693,10,12,10,0,0.0,7,13,15,8,12,1650,67,29,8,94,10
M (C),16.281998631074607,10,16,10,0,0.0,14,12,14,8,11,1300,52,22,11,94,7
ST (C),16.32854209445585,10,5,11,0,0.0,2,11,10,9,8,1300,53,45,11,94,9
"AM (C), ST (C)",16.16700889801506,12,6,13,0,0.0,8,10,10,12,11,1300,53,28,11,94,11
ST (C),16.249144421629023,10,1,14,0,0.0,3,12,19,8,9,1300,53,27,11,94,5
D (L),16.309377138945926,10,4,11,0,0.0,16,10,8,16,7,1350,54,19,11,94,0
M (L),16.027378507871322,10,15,10,0,0.0,17,11,8,10,10,1300,52,25,11,94,9
"D (C), DM, M (C)",16.49281314168378,12,3,13,0,0.0,1,10,6,20,9,1300,52,20,11,94,8
M (R),15.88227241615332,11,16,11,0,0.0,1,9,4,11,8,1300,53,28,11,94,11
ST (C),15.953456536618754,11,13,10,0,0.0,17,11,11,16,14,1350,54,44,11,94,11
D (L),16.490075290896645,12,12,11,0,0.0,10,11,8,19,11,1350,54,43,11,94,15
D/WB (L),15.937029431895962,10,5,10,0,0.0,15,13,9,8,7,1300,52,15,11,94,3
D (L),16.18069815195072,12,18,8,0,0.0,2,13,8,10,6,1300,53,18,11,94,4
D (C),15.841204654346338,10,10,8,0,0.0,13,13,9,14,6,1350,54,34,11,94,9
AM (R),16.892539356605067,10,12,13,0,0.0,11,11,8,19,13,1400,57,32,10,94,17
ST (C),18.026009582477755,10,17,11,0,0.0,11,12,9,20,12,1550,62,26,10,94,10
ST (C),18.04791238877481,12,6,11,0,0.0,6,12,15,15,10,1550,62,17,10,94,6
M (C),18.469541409993155,11,8,11,0,0.0,11,12,8,9,8,1450,58,15,10,94,3
DM,17.76865160848734,10,9,11,0,0.0,12,11,16,15,9,1600,64,19,10,94,5
D (C),17.968514715947983,9,7,11,0,0.0,4,11,8,14,11,1450,58,7,10,94,0
M (C),17.99041752224504,10,9,7,0,0.0,9,12,10,9,5,1600,65,21,10,94,5
"D (C), DM, M (C)",17.83709787816564,9,3,10,0,0.0,10,11,10,7,7,1500,60,19,10,94,0
D (R),17.08145106091718,11,7,9,0,0.0,4,11,7,20,9,1400,57,17,10,94,0
GK,18.412046543463383,12,14,11,0,0.0,14,10,7,20,5,1450,59,20,10,94,5
GK,18.27789185489391,12,2,10,0,0.0,3,11,7,15,5,1450,58,12,10,94,0
D/WB (L),16.301163586584533,8,15,13,0,0.0,9,13,9,19,11,750,45,33,13,85,7
ST (C),17.420944558521562,10,17,12,0,0.0,2,12,4,8,5,1150,47,8,10,94,1
"AM (R), ST (C)",17.02943189596167,10,10,11,0,0.0,8,13,8,7,6,1250,50,3,10,94,0
ST (C),16.67624914442163,12,7,10,0,0.0,10,10,14,7,7,1350,54,35,10,94,13
ST (C),17.363449691991786,12,6,11,0,0.0,1,10,7,10,12,1250,50,25,10,94,11
"AM (C), ST (C)",16.843258042436688,12,8,13,0,0.0,14,9,19,16,11,1300,52,33,10,94,11
"DM, M (C)",16.681724845995895,9,14,11,0,0.0,10,11,8,18,11,1300,52,18,10,94,5
"DM, M (C)",16.788501026694046,12,12,11,0,0.0,15,8,10,7,12,1350,54,27,10,94,1
ST (C),17.17180013689254,11,15,10,0,0.0,11,11,8,16,6,1350,55,11,10,94,0
WB (L),16.993839835728952,12,12,11,0,0.0,4,10,10,13,7,1350,54,9,10,94,0
WB (L),17.44832306639288,12,6,9,0,0.0,6,9,10,20,6,1300,53,31,10,94,9
D/WB (R),17.456536618754278,11,12,11,0,0.0,10,11,10,12,15,1250,51,23,10,94,10
D/WB (L),17.39356605065024,10,17,11,0,0.0,6,12,8,10,5,1450,54,21,10,94,6
D/WB (L),17.43189596167009,10,6,9,0,0.0,7,10,10,8,13,1500,55,18,10,94,6
WB (L),17.256673511293634,10,17,10,0,0.0,4,10,8,9,11,1150,47,19,10,94,0
GK,17.245722108145106,11,8,11,0,0.0,13,10,8,10,7,1400,56,27,10,94,2
"DM, M (C)",16.892539356605067,10,2,12,0,0.0,14,10,19,7,10,750,85,48,15,161,4
ST (C),17.018480492813143,12,8,12,0,0.0,6,10,16,16,15,1300,52,25,12,94,12
DM,17.05681040383299,12,15,11,0,0.0,13,9,7,17,13,1300,52,40,12,94,11
DM,16.906228610540726,11,17,11,0,0.0,14,11,7,16,7,1400,57,38,12,94,12
WB (L),17.00205338809035,12,6,12,0,0.0,4,11,10,18,5,1300,52,36,12,94,8
GK,16.9637234770705,12,5,12,0,0.0,9,12,8,7,14,1400,57,15,12,94,4
D (C),16.246406570841888,13,16,12,0,0.0,11,9,8,12,9,50,47,59,19,134,16
D (L),16.418891170431213,9,7,13,0,0.0,4,12,7,14,12,1250,65,27,19,134,8
AM (RLC),16.00273785078713,11,2,11,0,0.0,16,11,8,13,14,50,36,72,19,134,6
M (C),16.550308008213552,9,14,11,0,0.0,10,12,5,10,5,50,37,74,19,134,9
D (C),16.465434633812457,11,12,10,0,0.0,11,11,11,17,5,850,59,66,19,134,21
M (C),16.251882272416154,13,11,12,0,0.0,2,11,19,20,5,150,50,76,19,134,18
ST (C),16.262833675564682,11,14,13,0,0.0,9,11,15,20,11,700,49,98,19,134,20
ST (C),16.396988364134156,12,14,11,0,0.0,2,13,8,9,14,850,52,74,19,134,25
D (C),16.16974674880219,12,6,10,0,0.0,1,11,8,16,5,50,35,89,19,134,14
ST (C),16.15879534565366,9,17,11,0,0.0,6,9,13,18,10,50,38,92,19,134,11
GK,16.84873374401095,11,15,8,0,0.0,7,13,13,19,6,950,52,69,19,134,4
M/AM (L),16.621492128678987,10,11,8,0,0.0,10,11,17,19,6,600,44,80,19,134,18
D (R),16.594113620807665,13,2,13,0,0.0,15,15,16,17,6,50,42,84,19,134,18
M (C),16.33675564681725,14,4,10,0,0.0,13,11,10,11,10,850,54,71,19,134,19
D (C),16.246406570841888,13,19,8,0,0.0,2,11,7,15,12,950,56,91,19,134,14
D (L),17.1088295687885,10,5,10,0,0.0,12,11,8,7,11,1300,53,15,12,94,4
"DM, M (C)",16.265571526351813,11,18,10,0,0.0,4,10,9,9,10,750,57,64,17,173,20
ST (C),16.073921971252567,13,14,11,0,0.0,1,12,6,18,6,50,21,38,8,107,3
ST (C),16.804928131416837,10,6,13,0,0.0,12,10,9,18,8,50,30,39,8,107,1
ST (C),16.1533196440794,10,16,10,0,0.0,2,9,13,16,5,50,20,40,8,107,5
M (RC),16.10403832991102,12,7,10,0,0.0,12,12,5,20,12,50,20,27,8,107,2
M (C),16.35318275154004,10,5,8,0,0.0,4,11,6,10,5,50,28,10,8,107,0
"WB (RL), M (L)",16.539356605065024,11,12,13,0,0.0,6,12,4,8,7,50,24,44,8,107,1
